;ID_ARB;orfeo_no.;URL
1800;188MA-00337542013-; 20198000491902 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800049190200004
1801;188MA-00337542013-; 20198000491902 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800049190200005
1802;188MA-00337542013-; 20198000492002 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800049200200001
1803;188MA-00337542013-; 20198000565252 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800056525200001
1804;188MA-00337542013-; 20198000718712 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800071871200001
1805;188MA-00337542013-; 20198000800442 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800080044200001
1806;188MA-00337542013-; 20198000963392 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800096339200001
1807;188MA-00337542013-; 20198000974272 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800097427200001
1808;188MA-00337542013-; 20198000974272 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800097427200002
1809;188MA-00337542013-; 20198001142492;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800114249200001
1810;188MA-00337542013-; 20198001142492;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800114249200002
1811;188MA-00337542013-; 20198001142492;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800114249200003
1812;188MA-00337542013-; 20198001142492;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800114249200004
1813;188MA-00337542013-;20198001347852;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800134785200001
1814;188MA-00337542013-;20198001762812;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800176281200001
1815;188MA-00337542013-;20198001762812;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800176281200002
1816;188MA-00337542013-; 20198001786222;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800178622200001
1817;188MA-00337542013-;20198001937132;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800193713200001
1818;188MA-00337542013-;20198001937132;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800193713200002
1819;188MA-00337542013-;20198001937132;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800193713200001
1820;188MA-00337542013-;20198001937132;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800193713200002
1821;188MA-00337542013-; 20198002052872;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800205287200001
1822;188MA-00337542013-; 20198002052872;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800205287200001
